userId,contentcode,rating,contenttypeid
zbfihpbc@google.com,134924,2,12
dttcguev@google.com,2378522,2,39
luhh@google.com,126807,2,12
txqs7@google.com,139614,5,32
rtgkmj7@google.com,127929,2,32
iutzlqq20@google.com,315926,2,12
mwyqc972@google.com,1896028,5,39
meoow1@google.com,1964914,5,39
bseltjg@google.com,2702243,4,12
khgo2933@google.com,756816,3,39
jlwg3@google.com,131288,1,39
tbptwm960@google.com,1932587,0,12
atshy@google.com,623189,4,15
gttnr5130@google.com,134771,4,12
nvakpgg@google.com,127264,1,12
xwtwqw@google.com,2571958,0,12
sqohwjf5487@google.com,131048,1,38
kopomw6925@google.com,643726,1,12
japlg@google.com,698933,5,12
cuje8@google.com,2607765,2,12
pubchy4968@google.com,125629,5,14
aqjyicx247@google.com,2487911,1,32
ekbby0627@google.com,562354,4,39
gesaqgc7@google.com,2705223,4,12
hvas@google.com,231893,0,12
uoddnajs440@google.com,801339,1,12
ktulyl196@google.com,771686,4,12
dqwwltyw1@google.com,130087,3,38
lywfatcu1@google.com,137891,1,39
ueyzjtom59@google.com,317571,4,12
vsby6@google.com,134580,5,15
damdqz55@google.com,2618553,4,39
lpwybbs@google.com,1114200,4,39
vwteqah@google.com,2581363,0,12
iaicdqo7@google.com,231916,3,14
tkmagg02@google.com,132937,4,15
dwav75@google.com,125635,5,28
yoomgm853@google.com,2577713,5,14
ycqx8@google.com,1622660,2,12
pomk3043@google.com,1307813,1,39
xfphnxhi@google.com,126399,2,32
raxsvtx4@google.com,1984236,0,32
jpuop36@google.com,792208,2,12
geyav@google.com,318182,1,39
oukwuywi0714@google.com,129130,2,14
ggwuf@google.com,1266373,0,39
gduxolto0990@google.com,132054,5,12
aqjyicx247@google.com,2604344,3,12
zzfx617@google.com,1756581,5,12
oimgjlfq6@google.com,1956978,0,12
hegwtbhr0054@google.com,2383465,5,32
lbsq0235@google.com,2663358,1,12
uaipid@google.com,615573,2,39
gugdgp82@google.com,1394730,1,39
urbmkh768@google.com,1343713,0,12
fscinqd683@google.com,1620808,0,12
ckrkcb024@google.com,2605277,2,14
tyvnzbxf8954@google.com,126580,0,14
tucns@google.com,2583263,1,28
hvas@google.com,2681507,4,12
mvrfaka8@google.com,579392,2,39
wyvvaxil@google.com,2495465,5,12
vehixmhy480@google.com,1087135,5,39
leoceqxz9@google.com,2570322,5,12
denucj8@google.com,347231,5,32
xskaoyx902@google.com,854298,5,32
gugdgp82@google.com,1733949,2,14
yqsake@google.com,969943,2,39
johrizr@google.com,125553,2,28
edwjczmu783@google.com,562923,4,39
iqzhlzh7675@google.com,2685416,1,39
fdbpwfcq6672@google.com,132259,4,14
ibrw6@google.com,2597317,4,39
wtbp656@google.com,2044527,2,32
adcc3677@google.com,1762129,5,39
stpyk2@google.com,1970821,1,12
oampb0002@google.com,2674346,0,12
ccbr8@google.com,131291,4,39
wdenot87@google.com,128634,2,32
ojczdz@google.com,134363,1,39
vehixmhy480@google.com,2627908,0,12
qrkctmrn@google.com,2493039,2,39
bsoruqdl2605@google.com,131720,5,12
japlg@google.com,128068,4,12
elakz97@google.com,1872077,0,32
kvdrs639@google.com,132609,3,12
iqifaeaf77@google.com,136646,2,12
cpbmb9249@google.com,525292,2,14
yxismg93@google.com,1610033,4,12
sruk693@google.com,2480245,3,14
ohlhbz2257@google.com,143120,3,39
ftwwr1691@google.com,1017590,4,39
snhmupe33@google.com,1840777,1,38
yhksnj475@google.com,127624,1,12
vsby6@google.com,129585,1,39
ryzobqg2750@google.com,750927,4,28
hvlsffpz@google.com,2653694,4,28
mqmm7@google.com,2574129,0,12
uhrvsdq477@google.com,2685598,0,39
rzulcgfs3064@google.com,127989,1,12
oputac@google.com,125457,0,14
rgnimt2@google.com,2580890,2,32
rgkhqfz3599@google.com,133001,4,38
llyetl11@google.com,298199,5,12
leoceqxz9@google.com,2576005,1,12
seuteia95@google.com,129201,1,12
ddqvc@google.com,2604128,5,14
fmtc6@google.com,2652384,5,39
cnwvlvx8327@google.com,2600221,3,38
gxbqsn66@google.com,125823,0,12
oiqlweao8@google.com,849201,0,14
jkpyyua305@google.com,614843,5,39
mflpad1014@google.com,129215,2,38
ppasun8347@google.com,127031,3,12
cpxj@google.com,130805,2,39
jrchq@google.com,790559,0,39
wxxlfcf9@google.com,1825057,5,39
gghxw484@google.com,264517,2,12
tdwfwzrd@google.com,126472,4,12
mvcgcpkd656@google.com,2613465,0,39
nsjllxit9@google.com,1344536,4,39
zewpa4@google.com,2661910,2,32
ewvzcww51@google.com,2650408,3,39
nigq12@google.com,2577761,5,32
dmatgxg831@google.com,133306,5,12
nkmu8@google.com,1730495,0,39
wdqhhfqe685@google.com,133373,4,32
fmtc6@google.com,138767,5,12
ufye15@google.com,2686627,3,12
wnimo6@google.com,2514823,2,32
rtrttjt974@google.com,1236556,2,12
vtlialn56@google.com,2698925,5,12
jwrxe9796@google.com,2610236,3,12
guvnh893@google.com,1920063,1,12
asncolh8496@google.com,1209958,4,12
kuvbj496@google.com,809490,3,12
kcevt98@google.com,2552255,4,12
dyvad287@google.com,127798,2,12
gyvdn22@google.com,131593,2,14
guvnh893@google.com,506766,1,12
kwaw5668@google.com,2376711,1,12
wkutqgiu9@google.com,129753,3,12
egwcp334@google.com,1750636,1,12
mvkvl631@google.com,2000475,3,12
shjndnyt4@google.com,2604741,5,39
ckrkcb024@google.com,2580667,3,39
vjnyjeg101@google.com,129872,3,14
ciev@google.com,1602257,1,14
ncmwrl29@google.com,125531,2,39
npqkbjy771@google.com,132045,1,14
nwclmrj7@google.com,2688096,4,12
euogmt34@google.com,134949,3,12
qhmxurnq5045@google.com,143068,1,39
sxdnmll8@google.com,1957989,4,12
gaqge955@google.com,2545063,0,39
prfx483@google.com,2514710,1,38
ybpd@google.com,129274,5,12
khgo2933@google.com,1434477,3,32
bnnboh79@google.com,1017547,2,39
lgdegkoq@google.com,134110,1,14
ufgeaadc76@google.com,252534,4,12
eopgw211@google.com,128096,3,39
nrbcyxf3616@google.com,729486,3,12
chsl88@google.com,835739,5,12
ygmgrz03@google.com,629130,4,39
kffvdt8664@google.com,134489,3,39
pomk3043@google.com,607348,4,39
auobgog19@google.com,1626773,5,14
iqzhlzh7675@google.com,232292,1,32
ipufdrs05@google.com,2489789,3,12
atshy@google.com,127216,5,39
lddhtpo@google.com,2685336,3,32
gcfasg12@google.com,128166,1,12
iqzhlzh7675@google.com,127866,5,12
pqwco053@google.com,1273202,0,32
jrchq@google.com,133443,3,32
rbryfp0888@google.com,2663380,0,28
atshy@google.com,2687892,5,39
