userId,contentcode,rating
fbevak9@google.com,2568267,5
ogytu3@google.com,129898,1
hovmavq2@google.com,1116925,5
ebjqj3055@google.com,1896625,1
umhj499@google.com,2572031,2
ibgbf3@google.com,2706334,1
zqyypv9@google.com,2531264,2
gbqf7@google.com,2707444,3
zjwr@google.com,2685359,1
taqhkg3@google.com,2507936,3
txvasuha4765@google.com,130573,3
tqjmlq7498@google.com,753801,3
hoypw7691@google.com,2679210,1
naksb@google.com,125593,0
rtbe2705@google.com,132774,1
mrxlho@google.com,126034,1
zfcsott527@google.com,2384364,4
oqvckvkh@google.com,128817,0
usylrp41@google.com,716313,1
lpcdvucs@google.com,136078,3
vdbw5500@google.com,580288,5
qvzkzes44@google.com,126346,1
luoh358@google.com,2403857,5
fycutzj947@google.com,2577502,2
twop51@google.com,128749,1
dxbjdamy1050@google.com,2671276,0
kmsn7181@google.com,2021698,4
jevwmgvv94@google.com,403767,1
jorosae041@google.com,132051,2
suokx907@google.com,793418,0
vfotdc@google.com,1887381,4
vxwsrs@google.com,2518765,1
atpo500@google.com,2588752,1
eowhx793@google.com,129070,2
tgtnm7@google.com,687616,4
yjcititz54@google.com,139867,1
wlgcvmu693@google.com,128498,0
weyylqa@google.com,1806376,1
ziax3@google.com,940259,0
apnz21@google.com,2713558,2
gltado998@google.com,1516091,3
blawk@google.com,1236556,4
wehhvp1974@google.com,129898,0
rwmeyyvh@google.com,2560413,0
ipabpxwc5993@google.com,2670290,2
mtvhgesp20@google.com,127651,3
xnxy@google.com,138547,3
bupt@google.com,1284247,1
vjff900@google.com,2703381,5
zjmzhb402@google.com,2687849,2
lmzvn674@google.com,2633896,0
dtrei@google.com,126585,4
dqmrikm6@google.com,2541883,4
pqvvkfl89@google.com,126347,5
rtofefy99@google.com,126905,2
woqsnh512@google.com,2414648,3
cmzjfh04@google.com,2525011,0
nwdbrph3@google.com,131970,5
wpjrzmul387@google.com,1832039,5
mbagktr241@google.com,403194,3
yxqwsvf155@google.com,580102,3
qvcupkj210@google.com,129316,2
kmevmo@google.com,2032450,1
nmelu921@google.com,1665536,0
srbvt@google.com,1985702,4
zqyypv9@google.com,1989501,1
dzkinjb@google.com,130571,4
iaqunh@google.com,1578694,1
efykqwni559@google.com,127257,0
rslpre090@google.com,2640274,2
msobxbgy2501@google.com,1750851,5
hebsg699@google.com,2393038,3
pyreya@google.com,129194,5
fxxc4@google.com,1086405,3
bfjo3930@google.com,687616,2
xbdqnxmv6332@google.com,125790,1
hspsxquj0588@google.com,130670,3
kypsnqx@google.com,2685469,2
wypoz6045@google.com,128427,2
iusq8764@google.com,130613,5
pvts577@google.com,139190,4
clefpj@google.com,131976,4
qjgbo404@google.com,911900,2
kixqpqk59@google.com,736597,5
nrkrb0@google.com,2515789,5
cpfjvyai2175@google.com,139190,4
ksbjajv47@google.com,2682667,3
ldqpxayu280@google.com,2704116,3
nmlumoj@google.com,2670841,5
ixyvzcob584@google.com,129045,0
gchp3@google.com,2650372,0
qgzsv6@google.com,129924,3
vjff900@google.com,2612802,2
cbxv24@google.com,126905,5
gsjclqay7@google.com,1947118,1
bebm7@google.com,2688002,5
xipu@google.com,1957338,0
weefw5@google.com,2580221,0
ejvtut@google.com,527227,2
sqdoton4@google.com,126501,2
fxxc4@google.com,1905703,4
zfcsott527@google.com,128205,2
bmzitct3@google.com,125481,5
mjsnmf0@google.com,1254680,2
hxclycp012@google.com,294452,4
wspdmic0100@google.com,2579457,1
fwyfdzeb044@google.com,2574220,2
gkyhxtkz5@google.com,1012554,4
pgwejp364@google.com,2014192,3
taqhkg3@google.com,126273,5
llqjlu1087@google.com,128033,1
jiaf4@google.com,1957342,4
hoypw7691@google.com,135696,2
hmbdyar1@google.com,1381088,2
lhyv@google.com,1627302,0
cwmf6155@google.com,132519,1
yszcu36@google.com,128385,4
ppfxpti396@google.com,2531264,5
rdvea07@google.com,2670270,1
niwgg0@google.com,126828,2
alci167@google.com,2515265,4
gwcmvr712@google.com,793418,4
hmbdyar1@google.com,2414791,2
toukcab630@google.com,402101,2
zathqg9@google.com,125658,0
bzjqys2514@google.com,128293,3
vdbw5500@google.com,2574118,4
mmsmawl0@google.com,522952,2
trwq@google.com,1957342,0
wlgcvmu693@google.com,915371,0
jizhtroa77@google.com,127433,2
fycutzj947@google.com,129291,1
vjff900@google.com,130986,2
mbpw@google.com,135282,4
ksjo4@google.com,580102,4
wvzgfflx67@google.com,2573089,4
tfuiolp8880@google.com,127154,4
pegianm6594@google.com,1627302,5
kxrpmu@google.com,131912,4
tdldss91@google.com,2577481,2
wommafwg@google.com,1002070,3
jchah7113@google.com,2652735,5
climdkoo871@google.com,133786,5
xhnblh3@google.com,2638437,0
hiwz@google.com,2664520,1
avqwsxpx@google.com,134877,0
ralpiytn1283@google.com,2575831,3
wrjil127@google.com,506378,4
dzkinjb@google.com,1887488,3
ogjqwfl5@google.com,988459,4
yddulvuv@google.com,129922,4
ouukzdf1@google.com,1959464,5
wsrju0346@google.com,1866076,5
nicr@google.com,2609894,3
ottevx83@google.com,129212,2
pcax5@google.com,129156,4
trwq@google.com,128657,4
hpagao4@google.com,1889833,5
