userId,contentcode,contentdes,click,date
xceorxzb@google.com,134098,거창맷돌,2,11/22/2020
dajoqk16@google.com,2398933,갯마을해변,2,01/15/2020
hpcr947@google.com,137913,강이흐르는마을 펜션,2,07/07/2020
lcedddm436@google.com,1579499,가섭암지 마애여래삼존입상,1,06/28/2020
fyptel72@google.com,133185,강원콩비지탕,1,06/09/2020
sjrfosv73@google.com,128749,거진항,3,10/21/2020
oxpyp@google.com,942523,가시버시펜션,3,11/13/2020
trwq@google.com,2013680,가람,3,04/03/2021
styp135@google.com,2514820,가진항,2,10/23/2020
bzmbyqkc6066@google.com,531391,강릉 단오제 2020,1,04/09/2021
xtif@google.com,1431823,개심사(괴산),3,03/05/2021
apnz21@google.com,678537,강변의수채화 펜션,2,01/15/2021
gsjclqay7@google.com,2629105,갈두천권역마을,2,10/24/2020
huwrhd@google.com,128759,강릉 심상진가옥,3,01/06/2020
mundmi96@google.com,132771,강릉 중앙시장,3,01/24/2020
jjtw898@google.com,127956,가조 백두산천지온천,1,01/06/2021
ntkihpzx660@google.com,130373,강남문화원,3,10/14/2020
etltmmuy69@google.com,138703,거제도 펜션팔색조,1,01/01/2021
dousudau6@google.com,232304,갈천훼밀리리조트[한국관광 품질인증/Korea Quality],3,03/20/2021
wlgcvmu693@google.com,125534,강화 전등사,2,09/26/2020
nipjow9@google.com,129045,간월도마을,3,09/26/2020
dtmttu084@google.com,294441,감응사(경북),1,01/28/2020
eoys30@google.com,1578561,가선정,3,03/24/2021
bzpgc36@google.com,294441,감응사(경북),3,05/24/2020
ygozcjy95@google.com,2398102,강릉ing게스트하우스[한국관광 품질인증/Korea Quality],1,04/17/2020
hpuk43@google.com,2560413,가평 자라섬테마파크,2,02/03/2021
gvdir9249@google.com,2514003,가우도 출렁다리,3,12/17/2020
zjwr@google.com,1949905,강남 시티투어 (트롤리버스),1,03/02/2020
kesdzm7223@google.com,131361,가인리 바다낚시,1,05/09/2020
jjdyk013@google.com,125899,개태사(논산),2,05/31/2020
pphlub4239@google.com,1258353,가무악극으로 만나는 토요 상설공연,1,09/09/2020
tgtnm7@google.com,130621,갤러리 한,1,05/02/2020
zaqiz8@google.com,132772,강릉 동부시장,2,04/13/2021
psgvlsue@google.com,1939058,갓전시관,3,05/27/2020
pqvvkfl89@google.com,125564,강화산성,2,02/27/2020
wdubhh7492@google.com,686369,감나무집,2,01/02/2020
noovlug505@google.com,127567,가지산도립공원(울주),3,03/19/2020
neqse05@google.com,403194,갯마을풍천장어,2,09/07/2020
jogij53@google.com,1002070,갤러리아 백화점 (진주점),1,01/06/2021
lcfqzd00@google.com,128498,가뫼골마을,1,01/05/2020
igtm@google.com,2670841,감자바우식당,2,12/10/2020
rzjfdesw7524@google.com,1885746,가세오름,3,03/28/2020
zdyzn99@google.com,1624429,강진 백련사 동백나무 숲,2,05/08/2020
wpgbt50@google.com,580288,갈목도,2,03/14/2021
ismkdzfm103@google.com,2670641,거기,3,12/28/2020
jtyt2@google.com,1887488,가창옛날찐빵손만두 본점,3,09/03/2020
qxlbgfx137@google.com,2396952,강릉항,1,01/24/2020
lrutb436@google.com,131785,경기도종합사격장,3,06/10/2020
sflnor698@google.com,719757,갈비구락부,2,03/01/2021
pzdsca442@google.com,1855052,강촌떡갈비,2,10/03/2020
uajkva4@google.com,1957336,가산서원,1,11/18/2020
svjemgus4@google.com,128947,거창 황산마을 옛 담장,1,03/12/2020
yqpqnw849@google.com,129407,가평 영양잣마을,1,02/09/2020
pkjlx860@google.com,2591878,갤러리 구루지,2,01/04/2021
ltinr834@google.com,1956297,간곡서원,3,01/10/2021
wtwnaxw@google.com,1553085,가루매마을,3,12/06/2020
wpjrzmul387@google.com,2607436,가로수,1,12/01/2020
fclvmya3@google.com,2553644,강릉컬링센터 (강릉실내빙상장),2,12/28/2020
dwbkb0@google.com,128360,강릉 한울타리마을,2,09/13/2020
vvsienxz830@google.com,126840,검룡소 (강원고생대 국가지질공원),1,06/07/2020
ttfbyc7682@google.com,2398168,강과 소나무[한국관광 품질인증/Korea Quality],1,03/09/2021
hwkabo0@google.com,634155,개정,3,01/10/2021
xvpzed6@google.com,134746,개화,2,12/22/2020
aipxu5629@google.com,132784,"거진장 / 고성 거진시장 (1, 6일)",3,12/19/2020
elumlssx76@google.com,2580078,갈밭식당,3,06/29/2020
aosaywsm45@google.com,132672,갤러리아 백화점 (타임월드점),3,02/03/2021
bzpgc36@google.com,139190,강촌 느티나무마을펜션,3,02/26/2020
dfswtp9442@google.com,129584,강릉 해운정,2,05/16/2020
ikgbge7@google.com,899898,가자화이트펜션,1,10/14/2020
bbwta9@google.com,745781,갤러리정,1,11/02/2020
zfgvqfaq3384@google.com,1747824,㈜코스테이,2,10/31/2020
zbilvnnb4574@google.com,2552251,경기여고 경운박물관(서울),1,09/03/2020
ozbyci3388@google.com,1890177,거미오름,1,07/25/2020
lrixyutr38@google.com,585522,강문해변,1,02/19/2021
dajoqk16@google.com,849941,감나무집,1,05/18/2020
dmvgi732@google.com,2553644,강릉컬링센터 (강릉실내빙상장),2,04/15/2020
ksjo4@google.com,130219,강화문예회관,3,09/20/2020
jaornhla@google.com,627268,강원토속식당,3,01/05/2020
usylrp41@google.com,507479,강산에스키샵,2,04/02/2021
gltado998@google.com,940259,강가의성,2,10/08/2020
ftzhkr@google.com,130405,갤러리 룩스,3,08/03/2020
bwqbksm0320@google.com,2664961,개마고원,1,02/08/2020
sflnor698@google.com,987769,감우재전승기념관,3,01/15/2021
eklox8025@google.com,130621,갤러리 한,1,08/27/2020
bzpgc36@google.com,2560413,가평 자라섬테마파크,2,01/17/2021
qaahqr6@google.com,1954998,개령향교,2,06/09/2020
szhid162@google.com,1014155,갯마을회센타,2,01/27/2020
ykoeiljc6904@google.com,2614901,강원참숯,2,10/29/2020
sxmtygq1@google.com,130218,강진문화원,1,07/06/2020
zguuxs0514@google.com,774675,겸재정선미술관,2,04/24/2020
zhdlqtl8906@google.com,736597,가학동지석묘,3,01/16/2020
